Département;Circonscription;Députés;Email;Numéro de circonscription;Prénom;Nom;identifiant;Commission;Sign PPL Peytavie;URL3;Région;Profession;Groupe politique (complet);Groupe politique (abrégé);;;
Seine-Saint-Denis;8-Fatiha Keloua Hachi;Fatiha Keloua Hachi;fatiha.kelouahachi@assemblee-nationale.fr;8;Fatiha;Keloua Hachi;795156;Affaires culturelles et de l'éducation;795156;https://www.assemblee-nationale.fr/dyn/deputes/PA795156;Ile-de-France;Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Loire-Atlantique;2-Andy Kerbrat;Andy Kerbrat;andy.kerbrat@assemblee-nationale.fr;2;Andy;Kerbrat;794130;Lois constitutionnelles, de la législation et de l'administration générale de la République;794130;https://www.assemblee-nationale.fr/dyn/deputes/PA794130;Pays de la Loire;Chargé d'assistance automobile;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Cher;3-Loïc Kervran;Loïc Kervran;Loic.Kervran@assemblee-nationale.fr, loic.kervran@assemblee-nationale.fr;3;Loïc;Kervran;719052;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719052;Centre-Val de Loire;Autre cadre (secteur privé);Horizons & Indépendants;HOR;;;
Haut-Rhin;1-Brigitte Klinkert;Brigitte Klinkert;brigitte.klinkert@assemblee-nationale.fr;1;Brigitte;Klinkert;643184;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA643184;Grand Est;Ancien cadre;Ensemble pour la République;EPR;;;
Indre-et-Loire;2-Daniel Labaronne;Daniel Labaronne;daniel.labaronne@assemblee-nationale.fr, Daniel.Labaronne@assemblee-nationale.fr;2;Daniel;Labaronne;719798;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719798;Centre-Val de Loire;Retraité de l'enseignement supérieur;Ensemble pour la République;EPR;;;
Seine-Saint-Denis;6-Bastien Lachaud;Bastien Lachaud;Bastien.Lachaud@assemblee-nationale.fr, bastien.lachaud@assemblee-nationale.fr;6;Bastien;Lachaud;720846;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720846;Ile-de-France;Professeur du secondaire et technique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Loire-Atlantique;4-Julie Laernoes;Julie Laernoes;julie.laernoes@assemblee-nationale.fr;4;Julie;Laernoes;794146;Affaires économiques;794146;https://www.assemblee-nationale.fr/dyn/deputes/PA794146;Pays de la Loire;Ancien cadre;Écologiste et Social;EcoS;;;
Ille-et-Vilaine;2-Tristan Lahais;Tristan Lahais;tristan.lahais@assemblee-nationale.fr;2;Tristan;Lahais;841223;Finances, de l'économie générale et du contrôle budgétaire;841223;https://www.assemblee-nationale.fr/dyn/deputes/PA841223;Bretagne;(37) - Cadre administratif et commercial d'entreprise;Écologiste et Social;EcoS;;;
Rhône;7-Abdelkader Lahmar;Abdelkader Lahmar;abdelkader.lahmar@assemblee-nationale.fr;7;Abdelkader;Lahmar;841729;Défense nationale et des forces armées;841729;https://www.assemblee-nationale.fr/dyn/deputes/PA841729;Auvergne-Rhône-Alpes;(34) - Professeur, profession scientifique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Seine-et-Marne;10-Maxime Laisney;Maxime Laisney;maxime.laisney@assemblee-nationale.fr;10;Maxime;Laisney;795516;Affaires économiques;795516;https://www.assemblee-nationale.fr/dyn/deputes/PA795516;Ile-de-France;Professeur des écoles, instituteur et assimilé;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Français établis hors de France;10-Amélia Lakrafi;Amélia Lakrafi;amelia.lakrafi@assemblee-nationale.fr;10;Amélia;Lakrafi;721004;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721004;Français établis hors de France;Chef d'entreprise;Ensemble pour la République;EPR;;;
Hauts-de-Seine;2-Thomas Lam;Thomas Lam;thomas.lam@assemblee-nationale.fr;2;Thomas;Lam;842125;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842125;Ile-de-France;(23) - Chef d'entreprise de 10 salariés ou plus;Horizons & Indépendants;HOR;;;
Lot-et-Garonne;2-Hélène Laporte;Hélène Laporte;helene.laporte@assemblee-nationale.fr;2;Hélène;Laporte;794354;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794354;Nouvelle-Aquitaine;Analyste bancaire;Rassemblement National;RN;;;
Vendée;1-Philippe Latombe;Philippe Latombe;Philippe.Latombe@assemblee-nationale.fr, philippe.latombe@assemblee-nationale.fr;1;Philippe;Latombe;721984;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721984;Pays de la Loire;Cadre supérieur (secteur privé);Les Démocrates;Dem;;;
Paris;2-Jean Laussucq;Jean Laussucq;jean.laussucq@assemblee-nationale.fr;2;Jean;Laussucq;841693;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841693;Ile-de-France;(33) - Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Lot-et-Garonne;1-Michel Lauzzana;Michel Lauzzana;Michel.Lauzzana@assemblee-nationale.fr, michel.lauzzana@assemblee-nationale.fr;1;Michel;Lauzzana;720022;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720022;Nouvelle-Aquitaine;Médecin;Ensemble pour la République;EPR;;;
Var;2-Laure Lavalette;Laure Lavalette;laure.lavalette@assemblee-nationale.fr;2;Laure;Lavalette;795912;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795912;Provence-Alpes-Côte d'Azur;(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r;Rassemblement National;RN;;;
Seine-Maritime;10-Robert Le Bourgeois;Robert Le Bourgeois;robert.lebourgeois@assemblee-nationale.fr;10;Robert;Le Bourgeois;841837;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841837;Normandie;(37) - Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Nord;1-Aurélien Le Coq;Aurélien Le Coq;aurelien.lecoq@assemblee-nationale.fr;1;Aurélien;Le Coq;841515;Finances, de l'économie générale et du contrôle budgétaire;841515;https://www.assemblee-nationale.fr/dyn/deputes/PA841515;Hauts-de-France;(54) - Employé administratif d'entreprise;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Finistère;4-Sandrine Le Feur;Sandrine Le Feur;sandrine.lefeur@assemblee-nationale.fr, Sandrine.LeFeur@assemblee-nationale.fr;4;Sandrine;Le Feur;719412;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719412;Bretagne;Agriculteur-propriétaire exploitant;Ensemble pour la République;EPR;;;
Côtes-d'Armor;3-Corentin Le Fur;Corentin Le Fur;corentin.lefur@assemblee-nationale.fr;3;Corentin;Le Fur;840979;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840979;Bretagne;(37) - Cadre administratif et commercial d'entreprise;Droite Républicaine;DR;;;
Finistère;3-Didier Le Gac;Didier Le Gac;didier.legac@assemblee-nationale.fr, Didier.LeGac@assemblee-nationale.fr;3;Didier;Le Gac;719404;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719404;Bretagne;Profession rattachée à l'enseignement;Ensemble pour la République;EPR;;;
Val-d'Oise;9-Arnaud Le Gall;Arnaud Le Gall;arnaud.legall@assemblee-nationale.fr;9;Arnaud;Le Gall;795672;Affaires étrangères;795672;https://www.assemblee-nationale.fr/dyn/deputes/PA795672;Ile-de-France;Cadre de la fonction publique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Hauts-de-Seine;6-Constance Le Grip;Constance Le Grip;constance.legrip@assemblee-nationale.fr, Constance.LeGrip@assemblee-nationale.fr;6;Constance;Le Grip;345722;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA345722;Ile-de-France;Conseillère parlementaire;Ensemble pour la République;EPR;;;
Morbihan;1-Anne Le Hénanff;Anne Le Hénanff;anne.lehenanff@assemblee-nationale.fr;1;Anne;Le Hénanff;794426;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794426;Bretagne;Consultante indépendante;Horizons & Indépendants;HOR;;;
Finistère;1-Annaïg Le Meur;Annaïg Le Meur;Annaig.LeMeur@assemblee-nationale.fr, annaig.lemeur@assemblee-nationale.fr;1;Annaïg;Le Meur;719388;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719388;Bretagne;Autre profession libérale;Ensemble pour la République;EPR;;;
Ille-et-Vilaine;5-Christine Le Nabour;Christine Le Nabour;christine.lenabour@assemblee-nationale.fr, Christine.lenabour@assemblee-nationale.fr;5;Christine;Le Nabour;719756;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719756;Bretagne;Employée (secteur privé);Ensemble pour la République;EPR;;;
Morbihan;3-Nicole Le Peih;Nicole Le Peih;nicole.lepeih@assemblee-nationale.fr, Nicole.LePeih@assemblee-nationale.fr;3;Nicole;Le Peih;720342;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720342;Bretagne;Agricultrice;Ensemble pour la République;EPR;;;
Pas-de-Calais;11-Marine Le Pen;Marine Le Pen;Marine.LePen@assemblee-nationale.fr, marine.lepen@assemblee-nationale.fr;11;Marine;Le Pen;720614;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720614;Hauts-de-France;Avocate;Rassemblement National;RN;;;
Essonne;10-Antoine Léaument;Antoine Léaument;antoine.leaument@assemblee-nationale.fr;10;Antoine;Léaument;795746;Lois constitutionnelles, de la législation et de l'administration générale de la République;795746;https://www.assemblee-nationale.fr/dyn/deputes/PA795746;Ile-de-France;Responsable de la communication numérique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Yvelines;4-Marie Lebec;Marie Lebec;marie.lebec@assemblee-nationale.fr, Marie.Lebec@assemblee-nationale.fr;4;Marie;Lebec;721852;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721852;Ile-de-France;Consultante en affaires publiques;Ensemble pour la République;EPR;;;
Réunion;2-Karine Lebon;Karine Lebon;karine.lebon@assemblee-nationale.fr;2;Karine;Lebon;774962;Affaires sociales;774962;https://www.assemblee-nationale.fr/dyn/deputes/PA774962;Réunion;Professeure des écoles;Gauche Démocrate et Républicaine;GDR;;;
Sarthe;4-Élise Leboucher;Élise Leboucher;elise.leboucher@assemblee-nationale.fr;4;Élise;Leboucher;795108;Affaires sociales;795108;https://www.assemblee-nationale.fr/dyn/deputes/PA795108;Pays de la Loire;Educatrice spécialisée;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Vienne;3-Pascal Lecamp;Pascal Lecamp;pascal.lecamp@assemblee-nationale.fr;3;Pascal;Lecamp;795374;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795374;Nouvelle-Aquitaine;Cadre administratif et commercial d'entreprise;Les Démocrates;Dem;;;
Var;5-Julie Lechanteux;Julie Lechanteux;julie.lechanteux@assemblee-nationale.fr;5;Julie;Lechanteux;796026;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA796026;Provence-Alpes-Côte d'Azur;(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r;Rassemblement National;RN;;;
Dordogne;1-Nadine Lechon;Nadine Lechon;nadine.lechon@assemblee-nationale.fr;1;Nadine;Lechon;840857;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840857;Nouvelle-Aquitaine;(12) - Agriculteur sur moyenne exploitation;Rassemblement National;RN;;;
Seine-Maritime;8-Jean-Paul Lecoq;Jean-Paul Lecoq;Jean-Paul.Lecoq@assemblee-nationale.fr, jean-paul.lecoq@assemblee-nationale.fr;8;Jean-Paul;Lecoq;335612;Affaires étrangères;335612;https://www.assemblee-nationale.fr/dyn/deputes/PA335612;Normandie;Électricien;Gauche Démocrate et Républicaine;GDR;;;
Val-de-Marne;5-Mathieu Lefèvre;Mathieu Lefèvre;mathieu.lefevre@assemblee-nationale.fr;5;Mathieu;Lefèvre;795386;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795386;Ile-de-France;Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Seine-Saint-Denis;12-Jérôme Legavre;Jérôme Legavre;jerome.legavre@assemblee-nationale.fr;12;Jérôme;Legavre;795298;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795298;Ile-de-France;Professeur de lettres;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Paris;16-Sarah Legrain;Sarah Legrain;sarah.legrain@assemblee-nationale.fr;16;Sarah;Legrain;791824;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA791824;Ile-de-France;Professeure de français;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Essonne;7-Claire Lejeune;Claire Lejeune;claire.lejeune@assemblee-nationale.fr;7;Claire;Lejeune;842029;Développement durable et de l'aménagement du territoire;842029;https://www.assemblee-nationale.fr/dyn/deputes/PA842029;Ile-de-France;34 - Professeur, profession scientifique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Bouches-du-Rhône;3-Gisèle Lelouis;Gisèle Lelouis;gisele.lelouis@assemblee-nationale.fr;3;Gisèle;Lelouis;793290;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793290;Provence-Alpes-Côte d'Azur;Ancien employé;Rassemblement National;RN;;;
Haut-Rhin;3-Didier Lemaire;Didier Lemaire;didier.lemaire@assemblee-nationale.fr;3;Didier;Lemaire;794838;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794838;Grand Est;Employé civil et agent de service de la fonction publique;Horizons & Indépendants;HOR;;;
Creuse;1-Bartolomé Lenoir;Bartolomé Lenoir;bartolome.lenoir@assemblee-nationale.fr;1;Bartolomé;Lenoir;840983;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840983;Nouvelle-Aquitaine;(37) - Cadre administratif et commercial d'entreprise;UDR;UDR;;;
Saint-Pierre-et-Miquelon;1-Stéphane Lenormand;Stéphane Lenormand;stephane.lenormand@assemblee-nationale.fr;1;Stéphane;Lenormand;795244;Développement durable et de l'aménagement du territoire;795244;https://www.assemblee-nationale.fr/dyn/deputes/PA795244;Saint-Pierre-et-Miquelon;Ancien cadre;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Lot-et-Garonne;3-Guillaume Lepers;Guillaume Lepers;guillaume.lepers@assemblee-nationale.fr;3;Guillaume;Lepers;695512;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA695512;Nouvelle-Aquitaine;(37) - Cadre administratif et commercial d'entreprise;Droite Républicaine;DR;;;
Côtes-d'Armor;4-Murielle Lepvraud;Murielle Lepvraud;murielle.lepvraud@assemblee-nationale.fr;4;Murielle;Lepvraud;793532;Défense nationale et des forces armées;793532;https://www.assemblee-nationale.fr/dyn/deputes/PA793532;Bretagne;Employé administratif d'entreprise;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Français établis hors de France;1-Roland Lescure;Roland Lescure;roland.lescure@assemblee-nationale.fr;1;Roland;Lescure;721134;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721134;Français établis hors de France;Ministre;Ensemble pour la République;EPR;;;
Seine-Maritime;5-Gérard Leseul;Gérard Leseul;gerard.leseul@assemblee-nationale.fr;5;Gérard;Leseul;774958;Développement durable et de l'aménagement du territoire;774958;https://www.assemblee-nationale.fr/dyn/deputes/PA774958;Normandie;Cadre d'entreprise / enseignant universitaire;Socialistes et apparentés;SOC;;;
Nord;21-Valérie Létard;Valérie Létard;valerie.letard@assemblee-nationale.fr;21;Valérie;Létard;227089;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA227089;Hauts-de-France;Cadre de la fonction publique territoriale;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Eure;2-Katiana Levavasseur;Katiana Levavasseur;katiana.levavasseur@assemblee-nationale.fr;2;Katiana;Levavasseur;793608;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793608;Normandie;Ouvrier de type industriel;Rassemblement National;RN;;;
Bouches-du-Rhône;2-Laurent Lhardit;Laurent Lhardit;laurent.lhardit@assemblee-nationale.fr;2;Laurent;Lhardit;840765;Affaires économiques;840765;https://www.assemblee-nationale.fr/dyn/deputes/PA840765;Provence-Alpes-Côte d'Azur;Chef d'entreprise;Socialistes et apparentés;SOC;;;
Seine-et-Marne;4-Julien Limongi;Julien Limongi;julien.limongi@assemblee-nationale.fr;4;Julien;Limongi;841873;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841873;Ile-de-France;(74) - Ancien cadre;Rassemblement National;RN;;;
Puy-de-Dôme;4-Delphine Lingemann;Delphine Lingemann;delphine.lingemann@assemblee-nationale.fr;4;Delphine;Lingemann;794702;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794702;Auvergne-Rhône-Alpes;Chef d'entreprise - Enseignante associée université;Les Démocrates;Dem;;;
Côte-d'Or;5-René Lioret;René Lioret;rene.lioret@assemblee-nationale.fr;5;René;Lioret;840967;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840967;Bourgogne-Franche-Comté;(74) - Ancien cadre;Rassemblement National;RN;;;
Nord;4-Brigitte Liso;Brigitte Liso;brigitte.liso@assemblee-nationale.fr, Brigitte.Liso@assemblee-nationale.fr;4;Brigitte;Liso;720446;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720446;Hauts-de-France;Commerçant;Ensemble pour la République;EPR;;;
Eure;1-Christine Loir;Christine Loir;christine.loir@assemblee-nationale.fr;1;Christine;Loir;793672;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793672;Normandie;Profession intermédiaire de la santé et du travail social;Rassemblement National;RN;;;
Hérault;7-Aurélien Lopez-Liguori;Aurélien Lopez-Liguori;aurelien.lopezliguori@assemblee-nationale.fr;7;Aurélien;Lopez-Liguori;793904;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793904;Occitanie;Attaché parlementaire;Rassemblement National;RN;;;
Vaucluse;4-Marie-France Lorho;Marie-France Lorho;marie-france.lorho@assemblee-nationale.fr, Marie-France.Lorho@assemblee-nationale.fr;4;Marie-France;Lorho;721932;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721932;Provence-Alpes-Côte d'Azur;Déléguée médicale;Rassemblement National;RN;;;
Var;4-Philippe Lottiaux;Philippe Lottiaux;philippe.lottiaux@assemblee-nationale.fr;4;Philippe;Lottiaux;795974;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795974;Provence-Alpes-Côte d'Azur;Cadre de la fonction publique;Rassemblement National;RN;;;
Moselle;7-Alexandre Loubet;Alexandre Loubet;alexandre.loubet@assemblee-nationale.fr;7;Alexandre;Loubet;794590;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794590;Grand Est;Cadre d'entreprise;Rassemblement National;RN;;;
Orne;2-Véronique Louwagie;Véronique Louwagie;Veronique.Louwagie@assemblee-nationale.fr, veronique.louwagie@assemblee-nationale.fr;2;Véronique;Louwagie;608016;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA608016;Normandie;Expert-comptable;Droite Républicaine;DR;;;
Yvelines;8-Benjamin Lucas-Lundy;Benjamin Lucas-Lundy;benjamin.lucas@assemblee-nationale.fr;8;Benjamin;Lucas-Lundy;795636;Affaires sociales;795636;https://www.assemblee-nationale.fr/dyn/deputes/PA795636;Ile-de-France;(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r;Écologiste et Social;EcoS;;;
Marne;4-Lise Magnier;Lise Magnier;Lise.Magnier@assemblee-nationale.fr, lise.magnier@assemblee-nationale.fr;4;Lise;Magnier;720230;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720230;Grand Est;Cadre territorial;Horizons & Indépendants;HOR;;;
Oise;7-David Magnier;David Magnier;david.magnier@assemblee-nationale.fr;7;David;Magnier;841587;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841587;Hauts-de-France;(48) - Contremaître, agent de maîtrise;Rassemblement National;RN;;;
Paris;1-Sylvain Maillard;Sylvain Maillard;sylvain.maillard@assemblee-nationale.fr, Sylvain.Maillard@assemblee-nationale.fr;1;Sylvain;Maillard;717379;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA717379;Ile-de-France;Industriel-Chef d'entreprise;Ensemble pour la République;EPR;;;
Réunion;6-Frédéric Maillot;Frédéric Maillot;frederic.maillot@assemblee-nationale.fr;6;Frédéric;Maillot;796010;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA796010;Réunion;Intervenant social;Gauche Démocrate et Républicaine;GDR;;;
Loire;3-Emmanuel Mandon;Emmanuel Mandon;emmanuel.mandon@assemblee-nationale.fr;3;Emmanuel;Mandon;794114;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794114;Auvergne-Rhône-Alpes;Conseiller d'insertion professionnelle;Les Démocrates;Dem;;;
Isère;8-Hanane Mansouri;Hanane Mansouri;hanane.mansouri@assemblee-nationale.fr;8;Hanane;Mansouri;841183;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841183;Auvergne-Rhône-Alpes;(84) - Elève, étudiant;UDR;UDR;;;
Oise;1-Claire Marais-Beuil;Claire Marais-Beuil;claire.marais-beuil@assemblee-nationale.fr;1;Claire;Marais-Beuil;841563;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841563;Hauts-de-France;Profession libérale;Rassemblement National;RN;;;
Corse-du-Sud;1-Laurent Marcangeli;Laurent Marcangeli;laurent.marcangeli@assemblee-nationale.fr;1;Laurent;Marcangeli;605782;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA605782;Corse;Avocat;Horizons & Indépendants;HOR;;;
Nord;16-Matthieu Marchio;Matthieu Marchio;matthieu.marchio@assemblee-nationale.fr;16;Matthieu;Marchio;794530;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794530;Hauts-de-France;Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Deux-Sèvres;1-Bastien Marchive;Bastien Marchive;bastien.marchive@assemblee-nationale.fr;1;Bastien;Marchive;795730;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795730;Nouvelle-Aquitaine;Juriste;Ensemble pour la République;EPR;;;
Loir-et-Cher;3-Christophe Marion;Christophe Marion;christophe.marion@assemblee-nationale.fr;3;Christophe;Marion;794206;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794206;Centre-Val de Loire;Délégué général du Comité des travaux historiques et scientifiques;Ensemble pour la République;EPR;;;
Charente-Maritime;4-Pascal Markowsky;Pascal Markowsky;pascal.markowsky@assemblee-nationale.fr;4;Pascal;Markowsky;840837;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840837;Nouvelle-Aquitaine;(72) - Ancien artisan, commerçant, chef d'entreprise;Rassemblement National;RN;;;
Eure-et-Loir;2-Olivier Marleix;Olivier Marleix;Olivier.Marleix@assemblee-nationale.fr, olivier.marleix@assemblee-nationale.fr;2;Olivier;Marleix;606098;Lois constitutionnelles, de la législation et de l'administration générale de la République;606098;https://www.assemblee-nationale.fr/dyn/deputes/PA606098;Centre-Val de Loire;Fonctionnaire de catégorie A;Droite Républicaine;DR;;;
Charente;2-Sandra Marsaud;Sandra Marsaud;sandra.marsaud@assemblee-nationale.fr, Sandra.Marsaud@assemblee-nationale.fr;2;Sandra;Marsaud;719080;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719080;Nouvelle-Aquitaine;Cadre (entreprises publiques);Ensemble pour la République;EPR;;;
Alpes-Maritimes;8-Alexandra Martin;Alexandra Martin;alexandra.martin@assemblee-nationale.fr;8;Alexandra;Martin;793342;Défense nationale et des forces armées;793342;https://www.assemblee-nationale.fr/dyn/deputes/PA793342;Provence-Alpes-Côte d'Azur;Employé civil et agent de service de la fonction publique;Droite Républicaine;DR;;;
Isère;3-Élisa Martin;Élisa Martin;elisa.martin@assemblee-nationale.fr;3;Élisa;Martin;342384;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA342384;Auvergne-Rhône-Alpes;Professeur, profession scientifique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Seine-Maritime;6-Patrice Martin;Patrice Martin;patrice.martin@assemblee-nationale.fr;6;Patrice;Martin;841825;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841825;Normandie;(11) - Agriculteur sur petite exploitation;Rassemblement National;RN;;;
Sarthe;3-Éric Martineau;Éric Martineau;eric.martineau@assemblee-nationale.fr;3;Éric;Martineau;795100;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795100;Pays de la Loire;Agriculteur sur moyenne exploitation;Les Démocrates;Dem;;;
Pyrénées-Orientales;4-Michèle Martinez;Michèle Martinez;michele.martinez@assemblee-nationale.fr;4;Michèle;Martinez;794770;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794770;Occitanie;Clerc d'huissier;Rassemblement National;RN;;;
Maine-et-Loire;5-Denis Masséglia;Denis Masséglia;Denis.Masseglia@assemblee-nationale.fr, denis.masseglia@assemblee-nationale.fr;5;Denis;Masséglia;720146;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720146;Pays de la Loire;Ingénieur Arts et métiers;Ensemble pour la République;EPR;;;
Alpes-Maritimes;4-Alexandra Masson;Alexandra Masson;alexandra.masson@assemblee-nationale.fr;4;Alexandra;Masson;793314;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793314;Provence-Alpes-Côte d'Azur;Profession libérale;Rassemblement National;RN;;;
Alpes-Maritimes;6-Bryan Masson;Bryan Masson;bryan.masson@assemblee-nationale.fr;6;Bryan;Masson;793330;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793330;Provence-Alpes-Côte d'Azur;Profession intermédiaire administrative de la fonction publique;Rassemblement National;RN;;;
